ImportedOrNot,YearOfRegistration,Transmission,Fuel,Dist_travelled,Safetyscore,InitialBuyingPrice,SellingPrice
0,2005,Manual,Petrol,17500,6,700000,123000
0,2005,SemiAuto,Petrol,27200,3,580000,79000
0,2005,Manual,Diesel,25500,8,460000,112000
0,2006,Auto,Diesel,14900,7,1200000,103000
0,2004,Manual,Petrol,16400,3,240000,48000
0,2008,Manual,Diesel,26100,2,410000,116000
0,2004,SemiAuto,Diesel,25700,2,580000,88000
0,2003,Manual,Petrol,34800,3,230000,121000
0,2012,Manual,Petrol,16700,7,600000,112000
0,2008,SemiAuto,Petrol,18100,5,560000,113000
0,2006,Manual,Petrol,28100,6,550000,66000
0,2006,SemiAuto,Diesel,13300,6,630000,95000
0,2008,SemiAuto,Diesel,33300,8,800000,149000
0,2007,SemiAuto,Petrol,14700,4,630000,68000
0,2009,Auto,Diesel,18000,7,1290000,158000
0,2004,Manual,Petrol,16400,6,320000,82000
0,2007,Manual,Petrol,26900,7,600000,79000
1,2008,Autto,Diesel,11500,5,430000,107000
0,2008,Manual,Diesel,27800,8,910000,115000
0,2005,Manual,Petrol,27100,7,890000,66000
0,2004,Manual,Petrol,10700,4,560000,37000
0,2005,Manual,Diesel,29000,2,510000,130000
0,2008,SemiAuto,CNG,23200,4,630000,102000
0,2008,Manual,CNG,13100,5,370000,66000
0,2005,Manual,Diesel,10300,2,690000,101000
0,2006,Manual,Petrol,24700,3,430000,94000
0,2007,Manual,CNG,30900,5,240000,128000
0,2006,Manual,Petrol,14600,7,510000,116000
0,2007,Manual,Diesel,30200,6,350000,53000
1,2004,SemiAuto,Diesel,19200,2,280000,105000
0,2009,SemiAuto,Petrol,34500,3,270000,79000
0,2009,Manual,Petrol,19500,5,220000,46000
0,2007,Manual,Diesel,13600,8,940000,111000
0,2006,SemiAuto,Petrol,28100,5,430000,127000
0,2008,SemiAuto,Diesel,20800,5,400000,130000
0,2004,Manual,Petrol,14700,8,920000,99000
0,2005,Manual,Petrol,14200,5,430000,103000
0,2005,Manual,Petrol,15800,7,940000,121000
0,2009,Manual,Petrol,13600,6,480000,77000
0,2005,Auto,Diesel,20800,3,920000,106000
0,2006,Manual,CNG,31400,3,640000,106000
0,2007,Manual,CNG,19700,5,700000,104000
0,2004,SemiAuto,Petrol,27700,8,520000,115000
0,2009,Manual,Petrol,30600,7,940000,93000
0,2006,Manual,Diesel,35000,8,610000,80000
0,2011,SemiAuto,CNG,12500,8,770000,56000
0,2008,SemiAuto,Diesel,15900,7,840000,91000
0,2005,Manual,CNG,11500,7,800000,85000
0,2004,SemiAuto,Diesel,27700,6,520000,101000
0,2005,Manual,Diesel,26900,4,470000,66000
0,2009,Manual,Petrol,34100,2,490000,42000
0,2007,Manual,Diesel,11500,8,760000,65000
0,2005,Manual,Petrol,27800,6,250000,127000
0,2008,Manual,Petrol,18500,8,470000,134000
0,2004,SemiAuto,CNG,23700,6,530000,62000
0,2006,Auto,Diesel,14800,5,790000,82000
0,2007,SemiAuto,Diesel,15800,7,660000,145000
0,2006,Manual,Petrol,29100,5,360000,127000
