Institute ID,Name,City,State,Score,Rank
IR-N-C-28507,Maulana Azad Institute of Dental SciencesMore Details |  |,Delhi,Delhi,82.51,1
IR-N-C-7254,Manipal College of Dental SciencesMore Details |  |,Udupi,Karnataka,78.17,2
IR-N-I-1110,Dr. D. Y. Patil VidyapeethMore Details |  |,Pune,Maharashtra,76.37,3
IR-N-I-1441,Saveetha Institute of Medical and Technical SciencesMore Details |  |,Chennai,Tamil Nadu,72.34,4
IR-N-C-19320,A. B. S. M. Institute of Dental SciencesMore Details |  |,Mangaluru,Karnataka,70.87,5
IR-N-C-7240,Manipal College of Dental SciencesMore Details |  |,Mangalore,Karnataka,68.75,6
IR-N-I-1486,Sri Ramachandra Institute of Higher Education And ResearchMore Details |  |,Chennai,Tamil Nadu,66.27,7
IR-N-N-153,Nair Hospital Dental CollegeMore Details |  |,Mumbai,Maharashtra,64.54,8
IR-N-N-352,SRM Dental CollegeMore Details |  |,Chennai,Tamil Nadu,64.47,9
IR-N-C-35008,JSS Dental College and HospitalMore Details |  |,Mysuru,Karnataka,64.07,10
IR-N-U-0724,M. S. Ramaiah University of Applied SciencesMore Details |  |,Bangalore,Karnataka,62.82,11
IR-N-U-0363,Siksha `O` AnusandhanMore Details |  |,Bhubaneswar,Odisha,62.76,12
IR-N-U-0436,Amrita School of DentistryMore Details |  |,Kochi,Kerala,61.46,13
IR-N-U-0295,Datta Meghe Institute of Medical SciencesMore Details |  |,Wardha,Maharashtra,60.99,14
IR-N-C-30756,Postgraduate Institute of Dental SciencesMore Details |  |,Rohtak,Haryana,60.68,15
IR-N-C-40193,Bapuji Dental College & HospitalMore Details |  |,Davangere,Karnataka,60.24,16
IR-N-U-0356,Kalinga Institute of Industrial TechnologyMore Details |  |,Bhubaneswar,Odisha,60.23,17
IR-N-C-29150,Christian Dental CollegeMore Details |  |,Ludhiana,Punjab,58.29,18
IR-N-U-0108,Jamia Millia IslamiaMore Details |  |,New Delhi,Delhi,58.02,19
IR-N-C-8528,Yenepoya Dental CollegeMore Details |  |,Mangaluru,Karnataka,58.01,20
IR-N-C-40192,College of Dental SciencesMore Details |  |,Davangere,Karnataka,57.22,21
IR-N-C-29701,Government Dental CollegeMore Details |  |,Indore,Madhya Pradesh,56.08,22
IR-N-N-73,Army College of Dental SciencesMore Details |  |,Secunderabd,Telangana,55.13,23
IR-N-C-24504,KLE Vishwanath Katti Institute of Dental SciencesMore Details |  |,Belgaum,Karnataka,55.05,24
IR-N-U-0168,Maharishi MarkandeshwarMore Details |  |,Ambala,Haryana,55.04,25
IR-N-C-40531,Sri Dharmasthala Manjunatheswara College of DharwadMore Details |  |,Dharwad,Karnataka,54.3,26
IR-N-U-0461,M. G. R. Educational and Research InstituteMore Details |  |,Chennai,Tamil Nadu,54.02,27
IR-N-U-0078,Panjab UniversityMore Details |  |,Chandigarh,Chandigarh,53.09,28
IR-N-N-116,Pacific Dental CollegeMore Details |  |,Udaipur,Rajasthan,52.87,29
IR-N-N-71,Institute of Medical SciencesMore Details |  |,Varanasi,Uttar Pradesh,52.57,30
