Institute ID,Name,City,State,Score,Rank
IR-E-U-0456,Indian Institute of Technology MadrasMore Details |  |,Chennai,Tamil Nadu,89.93,1
IR-E-I-1074,Indian Institute of Technology DelhiMore Details |  |,New Delhi,Delhi,88.08,2
IR-E-U-0306,Indian Institute of Technology BombayMore Details |  |,Mumbai,Maharashtra,85.08,3
IR-E-I-1075,Indian Institute of Technology KanpurMore Details |  |,Kanpur,Uttar Pradesh,82.18,4
IR-E-U-0573,Indian Institute of Technology KharagpurMore Details |  |,Kharagpur,West Bengal,80.56,5
IR-E-U-0560,Indian Institute of Technology RoorkeeMore Details |  |,Roorkee,Uttarakhand,76.29,6
IR-E-U-0053,Indian Institute of Technology GuwahatiMore Details |  |,Guwahati,Assam,74.9,7
IR-E-U-0013,Indian Institute of Technology HyderabadMore Details |  |,Hyderabad,Telangana,66.44,8
IR-E-U-0467,National Institute of Technology TiruchirappalliMore Details |  |,Tiruchirappalli,Tamil Nadu,64.1,9
IR-E-U-0273,Indian Institute of Technology IndoreMore Details |  |,Indore,Madhya Pradesh,62.88,10
IR-E-U-0701,Indian Institute of Technology (BHU) VaranasiMore Details |  |,Varanasi,Uttar Pradesh,62.54,11
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines)More Details |  |,Dhanbad,Jharkhand,62.06,12
IR-E-U-0237,National Institute of Technology KarnatakaMore Details |  |,Surathkal,Karnataka,61.3,13
IR-E-U-0439,Anna UniversityMore Details |  |,Chennai,Tamil Nadu,59.89,14
IR-E-U-0490,Vellore Institute of TechnologyMore Details |  |,Vellore,Tamil Nadu,59.32,15
IR-E-U-0357,National Institute of Technology RourkelaMore Details |  |,Rourkela,Odisha,59.29,16
IR-E-U-0575,Jadavpur UniversityMore Details |  |,Kolkata,West Bengal,59.23,17
IR-E-U-0308,Institute of Chemical TechnologyMore Details |  |,Mumbai,Maharashtra,58.7,18
IR-E-U-0025,National Institute of Technology WarangalMore Details |  |,Warangal,Telangana,57.76,19
IR-E-U-0436,Amrita School of EngineeringMore Details |  |,Amritapuri,Kerala,57.37,20
IR-E-U-0584,Indian Institute of Engineering Science and TechnologyMore Details |  |,Shibpur,West Bengal,57.14,21
IR-E-U-0355,Indian Institute of Technology BhubaneswarMore Details |  |,Bhubaneswar,Odisha,56.8,22
IR-E-U-0263,National Institute of Technology CalicutMore Details |  |,Kozhikode,Kerala,56.56,23
IR-E-U-0139,Indian Institute of Technology GandhinagarMore Details |  |,Gandhinagar,Gujarat,56.15,24
IR-E-U-0378,Indian Institute of Technology RoparMore Details |  |,Rupnagar,Punjab,55.95,25
IR-E-U-0064,Indian Institute of Technology PatnaMore Details |  |,Patna,Bihar,55.74,26
IR-E-U-0334,Visvesvaraya National Institute of TechnologyMore Details |  |,Nagpur,Maharashtra,54.76,27
IR-E-U-0108,Jamia Millia IslamiaMore Details |  |,New Delhi,Delhi,54.58,28
IR-E-I-1480,Thapar Institute of Engineering & TechnologyMore Details |  |,Patiala,Punjab,54.45,29
IR-E-U-0391,Birla Institute of Technology & ScienceMore Details |  |,Pilani,Rajasthan,54.39,30
IR-E-U-0184,Indian Institute of Technology MandiMore Details |  |,Mandi,Himachal Pradesh,54.17,31
IR-E-U-0497,Amity University NoidaMore Details |  |,Gautam Budh Nagar,Uttar Pradesh,53.09,32
IR-E-U-0255,Indian Institute of Space Science and TechnologyMore Details |  |,Thiruvananthapuram,Kerala,53.01,33
IR-E-U-0363,Siksha `O` AnusandhanMore Details |  |,Bhubaneswar,Odisha,52.38,34
IR-E-U-0410,Malaviya National Institute of TechnologyMore Details |  |,Jaipur,Rajasthan,52.25,35
IR-E-U-0098,Delhi Technological UniversityMore Details |  |,New Delhi,Delhi,51.99,36
IR-E-U-0476,Shanmugha Arts Science Technology & Research AcademyMore Details |  |,Thanjavur,Tamil Nadu,51.79,37
IR-E-U-0202,Birla Institute of TechnologyMore Details |  |,Ranchi,Jharkhand,51.42,38
IR-E-U-0496,Aligarh Muslim UniversityMore Details |  |,Aligarh,Uttar Pradesh,51.39,39
IR-E-U-0172,National Institute of Technology KurukshetraMore Details |  |,Kurukshetra,Haryana,51.19,40
IR-E-U-0473,S. R. M. Institute of Science and TechnologyMore Details |  |,Chennai,Tamil Nadu,50.95,41
IR-E-U-0356,Kalinga Institute of Industrial TechnologyMore Details |  |,Bhubaneswar,Odisha,50.07,42
IR-E-U-0014,International Institute of Information Technology HyderabadMore Details |  |,Hyderabad,Telangana,49.45,43
IR-E-C-16604,Sri Sivasubramaniya Nadar College of EngineeringMore Details |  |,Kancheepuram,Tamil Nadu,49.26,44
IR-E-C-7252,Manipal Institute of TechnologyMore Details |  |,Manipal,Karnataka,49.06,45
IR-E-U-0055,National Institute of Technology SilcharMore Details |  |,Silchar,Assam,48.66,46
IR-E-U-0577,National Institute of Technology DurgapurMore Details |  |,Durgapur,West Bengal,48.39,47
IR-E-U-0530,Motilal Nehru National Institute of TechnologyMore Details |  |,Allahabad,Uttar Pradesh,48.24,48
IR-E-C-37013,PSG College of TechnologyMore Details |  |,Coimbatore,Tamil Nadu,47.21,49
IR-E-C-41593,College of Engineering PuneMore Details |  |,Pune,Maharashtra,46.79,50
IR-E-U-0474,Sathyabama Institute of Science and TechnologyMore Details |  |,Chennai,Tamil Nadu,46.77,51
IR-E-U-0374,Dr. B. R. Ambedkar National Institute of TechnologyMore Details |  |,Jalandhar,Punjab,46.45,52
IR-E-U-0395,Indian Institute of Technology JodhpurMore Details |  |,Jodhpur,Rajasthan,46.13,53
IR-E-U-0149,Sardar Vallabhbhai National Institute of TechnologyMore Details |  |,Surat,Gujarat,45.59,54
IR-E-U-0249,Visvesvaraya Technological UniversityMore Details |  |,Belgaum,Karnataka,45.37,55
IR-E-U-0105,Indraprastha Institute of Information Technology DelhiMore Details |  |,New Delhi,Delhi,45.03,56
IR-E-U-0017,Jawaharlal Nehru Technological UniversityMore Details |  |,Hyderabad,Telangana,44.97,57
IR-E-U-0020,Koneru Lakshmaiah Education Foundation UniversityMore Details |  |,Vaddeswaram,Andhra Pradesh,44.7,58
IR-E-C-1331,M. S. Ramaiah Institute of TechnologyMore Details |  |,Bengaluru,Karnataka,43.74,59
IR-E-U-0458,Kalasalingam Academy of Research and Higher EducationMore Details |  |,Srivilliputtur,Tamil Nadu,43.71,60
IR-E-U-0619,National Institute of Technology MeghalayaMore Details |  |,Shillong,Meghalaya,43.69,61
IR-E-U-0221,International Institute of Information Technology BangaloreMore Details |  |,Bengaluru,Karnataka,43.55,62
IR-E-U-0297,Defence Institute of Advanced TechnologyMore Details |  |,Pune,Maharashtra,43.13,63
IR-E-C-26794,Thiagarajar College of EngineeringMore Details |  |,Madurai,Tamil Nadu,43.11,64
IR-E-U-0284,Maulana Azad National Institute of TechnologyMore Details |  |,Bhopal,Madhya Pradesh,42.17,65
IR-E-U-0795,Indian Institute of Information Technology GuwahatiMore Details |  |,Guwahati,Assam,41.92,66
IR-E-U-0092,National Institute of Technology RaipurMore Details |  |,Raipur,Chhattisgarh,41.58,67
IR-E-U-0080,Punjab Engineering College (Deemed To Be University)More Details |  |,Chandigarh,Chandigarh,41.43,68
IR-E-C-24004,College of Engineering(A)More Details |  |,Visakhapatnam,Andhra Pradesh,41.36,69
IR-E-C-1269,R. V. College of EngineeringMore Details |  |,Bengaluru,Karnataka,41.02,70
IR-E-C-33641,Veermata Jijabai Technological InstituteMore Details |  |,Mumbai,Maharashtra,40.58,71
IR-E-U-0078,Panjab UniversityMore Details |  |,Chandigarh,Chandigarh,40.44,72
