company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
Walmart,1,0.0,523964.0,14881.0,2200000,Retailing,Bentonville,AR,no,no,no,yes,1.0,C. Douglas McMillon,https://www.stock.walmart.com,WMT,411690
Amazon,2,3.0,280522.0,11588.0,798000,Retailing,Seattle,WA,no,yes,no,yes,5.0,Jeffrey P. Bezos,https://www.amazon.com,AMZN,1637405
Exxon Mobil,3,-1.0,264938.0,14340.0,74900,Energy,Irving,TX,no,no,no,yes,2.0,Darren W. Woods,https://www.exxonmobil.com,XOM,177923
Apple,4,-1.0,260174.0,55256.0,137000,Technology,Cupertino,CA,no,no,no,yes,3.0,Timothy D. Cook,https://www.apple.com,AAPL,2221176
CVS Health,5,3.0,256776.0,6634.0,290000,Health Care,Woonsocket,RI,no,no,yes,yes,8.0,Karen S. Lynch,https://www.cvshealth.com,CVS,98496
Berkshire Hathaway,6,-2.0,254616.0,81417.0,391500,Financials,Omaha,NE,no,no,no,yes,4.0,Warren E. Buffett,https://www.berkshirehathaway.com,BRKA,550878
UnitedHealth Group,7,-1.0,242155.0,13839.0,325000,Health Care,Minnetonka,MN,no,no,no,yes,6.0,Andrew P. Witty,https://www.unitedhealthgroup.com,UNH,332885
McKesson,8,-1.0,214319.0,34.0,70000,Health Care,Irving,TX,no,no,no,yes,7.0,Brian S. Tyler,https://www.mckesson.com,MCK,29570
AT&T,9,0.0,181193.0,13903.0,247800,Telecommunications,Dallas,TX,no,no,no,yes,9.0,John T. Stankey,https://www.att.com,T,206369
AmerisourceBergen,10,0.0,179589.1,855.4,21500,Health Care,Chesterbrook,PA,no,no,no,yes,10.0,Steven H. Collis,https://www.amerisourcebergen.com,ABC,21246
Alphabet,11,4.0,161857.0,34343.0,118899,Technology,Mountain View,CA,no,no,no,yes,15.0,Sundar Pichai,https://www.abc.xyz,GOOGL,1274139
Ford Motor,12,0.0,155900.0,47.0,190000,Motor Vehicles & Parts,Dearborn,MI,no,no,no,yes,12.0,James D. Farley Jr.,https://www.ford.com,F,26297
Cigna,13,52.0,153566.0,5104.0,73700,Health Care,Bloomfield,CT,no,no,no,yes,65.0,David Cordani,https://www.cigna.com,CI,60335
Costco Wholesale,14,0.0,152703.0,3659.0,201500,Retailing,Issaquah,WA,no,no,no,yes,14.0,W. Craig Jelinek,https://www.costco.com,COST,160040
Chevron,15,-4.0,146516.0,2924.0,48200,Energy,San Ramon,CA,no,no,no,yes,11.0,Michael K. Wirth,https://www.chevron.com,CVX,156714
Cardinal Health,16,0.0,145534.0,1363.0,49500,Health Care,Dublin,OH,no,no,no,yes,16.0,Michael C. Kaufmann,https://www.cardinalhealth.com,CAH,16018
JPMorgan Chase,17,1.0,142422.0,36431.0,256981,Financials,New York,NY,no,no,no,yes,18.0,James Dimon,https://www.jpmorganchase.com,JPM,414465
General Motors,18,-5.0,137237.0,6732.0,164000,Motor Vehicles & Parts,Detroit,MI,no,no,yes,yes,13.0,Mary T. Barra,https://www.gm.com,GM,79953
Walgreens Boots Alliance,19,-2.0,136866.0,3982.0,287000,Food & Drug Stores,Deerfield,IL,no,no,no,yes,17.0,Stefano Pessina,https://www.walgreensbootsalliance.com,WBA,41552
Verizon Communications,20,-1.0,131868.0,19265.0,135000,Telecommunications,New York,NY,no,no,no,yes,19.0,Hans E. Vestberg,https://www.verizon.com,VZ,236948
Microsoft,21,5.0,125843.0,39240.0,144000,Technology,Redmond,WA,no,no,no,yes,26.0,Satya Nadella,https://www.microsoft.com,MSFT,1696122
Marathon Petroleum,22,9.0,124813.0,2637.0,60910,Energy,Findlay,OH,no,no,no,yes,31.0,Michael J. Hennigan,https://www.marathonpetroleum.com,MPC,24840
Kroger,23,-3.0,122286.0,1659.0,435000,Food & Drug Stores,Cincinnati,OH,no,no,no,yes,20.0,W. Rodney McMullen,https://www.thekrogerco.com,KR,25178
Fannie Mae,24,-2.0,120304.0,14160.0,7500,Financials,Washington,DC,no,no,no,yes,22.0,Hugh R. Frater,https://www.fanniemae.com,FNMA,11350
Bank of America,25,0.0,113589.0,27430.0,208131,Financials,Charlotte,NC,no,no,no,yes,25.0,Brian T. Moynihan,https://www.bankofamerica.com,BAC,279768
Home Depot,26,1.0,110225.0,11242.0,415700,Retailing,Atlanta,GA,no,no,no,yes,27.0,Craig A. Menear,https://www.homedepot.com,HD,295312
Phillips 66,27,-4.0,109559.0,3076.0,14500,Energy,Houston,TX,no,no,no,yes,23.0,Greg C. Garland,https://www.phillips66.com,PSX,27084
Comcast,28,4.0,108942.0,13057.0,190000,Telecommunications,Philadelphia,PA,no,no,no,yes,32.0,Brian L. Roberts,https://corporate.comcast.com,CMCSA,223642
Anthem,29,4.0,104213.0,4807.0,70600,Health Care,Indianapolis,IN,no,no,yes,yes,33.0,Gail K. Boudreaux,https://www.antheminc.com,ANTM,79964
Wells Fargo,30,-1.0,103915.0,19549.0,259800,Financials,San Francisco,CA,no,no,no,yes,29.0,Charles W. Scharf,https://www.wellsfargo.com,WFC,99941
Citigroup,31,-1.0,103449.0,19401.0,200000,Financials,New York,NY,no,no,yes,yes,30.0,Jane Fraser,https://www.citigroup.com,C,131684
Valero Energy,32,-8.0,102729.0,2422.0,10222,Energy,San Antonio,TX,no,no,no,yes,24.0,Joseph W. Gorder,https://www.valero.com,VLO,22928
General Electric,33,-12.0,95214.0,-4979.0,205000,Industrials,Boston,MA,no,no,no,no,21.0,H. Lawrence Culp Jr.,https://www.ge.com,GE,53132
Dell Technologies,34,0.0,92154.0,4616.0,165000,Technology,Round Rock,TX,no,yes,no,yes,34.0,Michael S. Dell,https://www.delltechnologies.com,DELL,57773
Johnson & Johnson,35,2.0,82059.0,15119.0,132200,Health Care,New Brunswick,NJ,no,no,no,yes,37.0,Alex Gorsky,https://www.jnj.com,JNJ,427473
State Farm Insurance,36,0.0,79395.3,5592.7,57672,Financials,Bloomington,IL,no,no,no,yes,36.0,Michael L. Tipsord,https://www.statefarm.com,,
Target,37,2.0,78112.0,3281.0,368000,Retailing,Minneapolis,MN,no,no,no,yes,39.0,Brian C. Cornell,https://corporate.target.com,TGT,94296
IBM,38,0.0,77147.0,9431.0,383800,Technology,Armonk,NY,no,no,no,yes,38.0,Arvind Krishna,https://www.ibm.com,IBM,115909
Raytheon Technologies,39,7.0,77046.0,5537.0,243200,Aerospace & Defense,Waltham,MA,no,no,no,yes,46.0,Gregory J. Hayes,https://www.rtx.com,RTX,104549
Boeing,40,-12.0,76559.0,-636.0,161100,Aerospace & Defense,Chicago,IL,no,no,no,no,28.0,David L. Calhoun,https://www.boeing.com,BA,89183
Freddie Mac,41,-1.0,75125.0,7214.0,6892,Financials,McLean,VA,no,no,no,yes,40.0,Michael T. Hutchins,https://www.freddiemac.com,FMCC,6404
Centene,42,9.0,74639.0,1321.0,56600,Health Care,St. Louis,MO,no,no,no,yes,51.0,Michael F. Neidorff,https://www.centene.com,CNC,36191
UPS,43,-2.0,74094.0,4440.0,377640,Transportation,Atlanta,GA,no,no,yes,yes,41.0,Carol B. Tomé,https://www.ups.com,UPS,138166
Lowe&#8217;s,44,-2.0,72148.0,4281.0,260000,Retailing,Mooresville,NC,no,no,no,yes,42.0,Marvin R. Ellison,https://www.lowes.com,LOW,126315
