PLAYER,NATIONALITY,TYPE,PRICE,SOLD/UNSOLD,TEAM,YEAR
Robin Uthappa,Indian,Batsman,20000000,SOLD,Chennai Super Kings,2022
Dwayne Bravo,Overseas,All-Rounder,44000000,SOLD,Chennai Super Kings,2022
Ambati Rayudu,Indian,Wicket Keeper,67500000,SOLD,Chennai Super Kings,2022
Deepak Chahar,Indian,Bowler,140000000,SOLD,Chennai Super Kings,2022
C.Hari Nishaanth,Indian,Batsman,2000000,SOLD,Chennai Super Kings,2022
N. Jagadeesan,Indian,Wicket Keeper,2000000,SOLD,Chennai Super Kings,2022
K.M. Asif,Indian,Bowler,2000000,SOLD,Chennai Super Kings,2022
Tushar Deshpande,Indian,Bowler,2000000,SOLD,Chennai Super Kings,2022
Shivam Dube,Indian,All-Rounder,40000000,SOLD,Chennai Super Kings,2022
Chris Jordan,Overseas,All-Rounder,36000000,SOLD,Chennai Super Kings,2022
Maheesh Theekshana,Overseas,Bowler,7000000,SOLD,Chennai Super Kings,2022
Rajvardhan Hangargekar,Indian,All-Rounder,15000000,SOLD,Chennai Super Kings,2022
Simarjeet Singh,Indian,Bowler,2000000,SOLD,Chennai Super Kings,2022
Devon Conway,Overseas,Batsman,10000000,SOLD,Chennai Super Kings,2022
Dwaine Pretorius,Overseas,All-Rounder,5000000,SOLD,Chennai Super Kings,2022
Mitchell Santner,Overseas,All-Rounder,19000000,SOLD,Chennai Super Kings,2022
Adam Milne,Overseas,Bowler,19000000,SOLD,Chennai Super Kings,2022
Subhranshu Senapati,Indian,Batsman,2000000,SOLD,Chennai Super Kings,2022
Mukesh Choudhary,Indian,Bowler,2000000,SOLD,Chennai Super Kings,2022
Prashant Solanki,Indian,Bowler,12000000,SOLD,Chennai Super Kings,2022
K.Bhagath Varma,Indian,All-Rounder,2000000,SOLD,Chennai Super Kings,2022
David Warner,Overseas,Batsman,62500000,SOLD,Delhi Capitals,2022
Mitchell Marsh,Overseas,All-Rounder,65000000,SOLD,Delhi Capitals,2022
Mustafizur Rahman,Overseas,Bowler,20000000,SOLD,Delhi Capitals,2022
Shardul Thakur,Indian,Bowler,107500000,SOLD,Delhi Capitals,2022
Kuldeep Yadav,Indian,Bowler,20000000,SOLD,Delhi Capitals,2022
Ashwin Hebbar,Indian,Batsman,2000000,SOLD,Delhi Capitals,2022
Sarfaraz Khan,Indian,All-Rounder,2000000,SOLD,Delhi Capitals,2022
Kamlesh Nagarkoti,Indian,All-Rounder,11000000,SOLD,Delhi Capitals,2022
K.S. Bharat,Indian,Wicket Keeper,20000000,SOLD,Delhi Capitals,2022
Mandeep Singh,Indian,Batsman,11000000,SOLD,Delhi Capitals,2022
Syed Khaleel Ahmed,Indian,Bowler,52500000,SOLD,Delhi Capitals,2022
Lungisani Ngidi,Overseas,Bowler,5000000,SOLD,Delhi Capitals,2022
Chetan Sakariya,Indian,Bowler,42000000,SOLD,Delhi Capitals,2022
Yash Dhull,Indian,All-Rounder,5000000,SOLD,Delhi Capitals,2022
Vicky Ostwal,Indian,All-Rounder,2000000,SOLD,Delhi Capitals,2022
Ripal Patel,Indian,All-Rounder,2000000,SOLD,Delhi Capitals,2022
Lalit Yadav,Indian,All-Rounder,6500000,SOLD,Delhi Capitals,2022
Rovman Powell,Overseas,Batsman,28000000,SOLD,Delhi Capitals,2022
Tim Seifert,Overseas,Wicket Keeper,5000000,SOLD,Delhi Capitals,2022
Pravin Dubey,Indian,All-Rounder,5000000,SOLD,Delhi Capitals,2022
Mohammad Shami,Indian,Bowler,62500000,SOLD,Gujarat Titans,2022
David Miller,Overseas,Batsman,30000000,SOLD,Gujarat Titans,2022
Jason Roy,Overseas,Batsman,20000000,SOLD,Gujarat Titans,2022
Wriddhiman Saha,Indian,Wicket Keeper,19000000,SOLD,Gujarat Titans,2022
Matthew Wade,Overseas,Wicket Keeper,24000000,SOLD,Gujarat Titans,2022
Lockie Ferguson,Overseas,Bowler,100000000,SOLD,Gujarat Titans,2022
Abhinav Sadarangani,Indian,Batsman,26000000,SOLD,Gujarat Titans,2022
Rahul Tewatia,Indian,All-Rounder,90000000,SOLD,Gujarat Titans,2022
Noor Ahmad,Overseas,Bowler,3000000,SOLD,Gujarat Titans,2022
R. Sai Kishore,Indian,Bowler,30000000,SOLD,Gujarat Titans,2022
Dominic Drakes,Overseas,All-Rounder,11000000,SOLD,Gujarat Titans,2022
Vijay Shankar,Indian,All-Rounder,14000000,SOLD,Gujarat Titans,2022
Jayant Yadav,Indian,All-Rounder,17000000,SOLD,Gujarat Titans,2022
Darshan Nalkande,Indian,All-Rounder,2000000,SOLD,Gujarat Titans,2022
Yash Dayal,Indian,Bowler,32000000,SOLD,Gujarat Titans,2022
B. Sai Sudharsan,Indian,All-Rounder,2000000,SOLD,Gujarat Titans,2022
Gurkeerat Singh,Indian,All-Rounder,5000000,SOLD,Gujarat Titans,2022
Alzarri Joseph,Overseas,Bowler,24000000,SOLD,Gujarat Titans,2022
Varun Aaron,Indian,Bowler,5000000,SOLD,Gujarat Titans,2022
Pradeep Sangwan,Indian,All-Rounder,2000000,SOLD,Gujarat Titans,2022
Pat Cummins,Overseas,All-Rounder,72500000,SOLD,Kolkata Knight Riders,2022
