S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore,
1,Reliance Inds.,583436.72,99810,
2,TCS,563709.84,30904,
3,HDFC Bank,482953.59,20581.27,
4,ITC,320985.27,9772.02,
5,H D F C,289497.37,16840.51,
6,Hind. Unilever,288265.26,8590,
7,Maruti Suzuki,263493.81,19283.2,
8,Infosys,248320.35,17794,
9,O N G C,239981.5,22995.88,
10,St Bk of India,232763.33,57014.08,
11,ICICI Bank,203802.35,13665.35,
12,Kotak Mah. Bank,199253.77,6390.71,
13,Coal India,192677.98,21643.28,
14,Larsen & Toubro,180860.74,28747.45,
15,I O C L,178017.48,110666.93,
16,Bharti Airtel,167131.29,20318.6,
17,Axis Bank,136380.76,11721.55,
18,NTPC,135390.53,20774.37,
19,Sun Pharma.Inds.,134241.36,6653.23,
20,Hind.Zinc,133266.56,5922,
21,Wipro,131840.57,13669,
22,HCL Technologies,126335.27,12809,
23,Vedanta,122184.17,24361,
24,Tata Motors,117071.87,74156.07,
25,UltraTech Cem.,113692.87,8019.24,
26,Asian Paints,108044.04,4260.52,
27,Power Grid Corpn,102016.01,7506.95,
28,B P C L,98278,60616.36,
29,IndusInd Bank,97379.96,4286.78,
30,Bajaj Fin.,94476.77,3540.63,
31,Bajaj Auto,88252.6,6369.34,
32,M & M,88142.35,11577.78,
33,HDFC Stand. Life,87358.23,9734.9,
34,Adani Ports,81781.89,2688.85,
35,Bajaj Finserv,79795.11,7665.4,
36,GAIL (India),78670.97,14414.34,
37,Avenue Super.,74066.35,4094.82,
38,Titan Company,73886,4274.84,
39,JSW Steel,73870.26,17861,
40,Grasim Inds,73532.62,15291.42,
41,Tata Steel,73376.14,32464.14,
42,Eicher Motors,73311.41,2269.01,
43,Nestle India,73015.49,2601.46,
44,Godrej Consumer,71859.82,2630.3,
45,Yes Bank,71028.13,5070.3,
46,Hero Motocorp,69448.66,7305.49,
47,Motherson Sumi,68590.33,14397.85,
48,SBI Life Insuran,67465,9569.97,
49,General Insuranc,66316.32,8557.68,
50,Bharti Infra.,61776.92,,
51,Dabur India,60015,1966.44,
52,Bosch,59204.28,3071.92,
53,Shree Cement,58987.08,2296.23,
54,New India Assura,58108.48,5074.02,
55,H P C L,58034.78,57474.25,
56,ICICI Pru Life,57748.98,13555.32,
57,Britannia Inds.,56837.2,2567.48,
58,Tech Mahindra,56244.26,7775.96,
59,Hindalco Inds.,55854.68,11022.81,
60,Zee Entertainmen,54817.89,1838.07,
61,Cairn India,53528.57,,2149.36
62,Indiabulls Hous.,52781.67,,3115.89
