Company,Valuation (US $billion),Valution Date,Industry 
Paytm,18,March 2019,E-commerce
OYO,10,June 2019,Hospitality
Byju's,10,May 2020,Education
Ola Cabs,10,October 2019,Transportation
Swiggy,3.3,December 2018,Online food delivery
Zomato,3.25,Apr 2020,Online food delivery
Zerodha,3,August 2020,Financial service
Udaan,2.8,August 2019,B2B trade platform
ReNew Power,2,February 2017,Renewable energy
Billdesk,1.8,November 2018,Finance
Delhivery,1.6,March 2019,Courier
Mu Sigma,1.5,February 2013,Management consulting
Dream11,1.5,April 2019,Fantasy sport
Hike Messenger,1.4,August 2016,Internet
Bigbasket,1.2,March 2019,Retail
Rivigo,1.05,,Logistics
InMobi,1+,May 2017,Internet
Policy Bazaar,1,July 2018,Financial Technology
Pine Lab,1,May 2018,Financial Technology
Snapdeal,1,May 2017,E-commerce
Druva,1,June 2019,Cloud computing
CitiusTech,1+,July 2019,Healthcare IT Company
Ola Electric,1+,July 2019,Vehicle Pooling
Freshworks,3.5,November 2019,Cloud Software
Postman,2,June 2020,Cloud Software
Icertis,1+,July 2019,Cloud Software
HighRadius,1,January 2020,Cloud Software
