Institute ID,Name,City,State,Score,Rank
IR-O-U-0220,Indian Institute of ScienceMore Details |  |,Bengaluru,Karnataka,84.18,1
IR-O-U-0109,Jawaharlal Nehru UniversityMore Details |  |,New Delhi,Delhi,70.16,2
IR-O-U-0500,Banaras Hindu UniversityMore Details |  |,Varanasi,Uttar Pradesh,63.15,3
IR-O-U-0436,Amrita Vishwa VidyapeethamMore Details |  |,Coimbatore,Tamil Nadu,62.27,4
IR-O-U-0575,Jadavpur UniversityMore Details |  |,Kolkata,West Bengal,61.99,5
IR-O-U-0042,University of HyderabadMore Details |  |,Hyderabad,Telangana,61.7,6
IR-O-U-0570,Calcutta UniversityMore Details |  |,Kolkata,West Bengal,61.53,7
IR-O-U-0234,Manipal Academy of Higher EducationMore Details |  |,Manipal,Karnataka,61.51,8
IR-O-U-0323,Savitribai Phule Pune UniversityMore Details |  |,Pune,Maharashtra,61.13,9
IR-O-U-0108,Jamia Millia IslamiaMore Details |  |,New Delhi,Delhi,61.07,10
IR-O-U-0120,University of DelhiMore Details |  |,Delhi,Delhi,60.1,11
IR-O-U-0439,Anna UniversityMore Details |  |,Chennai,Tamil Nadu,58.71,12
IR-O-U-0447,Bharathiar UniversityMore Details |  |,Coimbatore,Tamil Nadu,58.3,13
IR-O-U-0304,Homi Bhabha National InstituteMore Details |  |,Mumbai,Maharashtra,56.04,14
IR-O-U-0391,Birla Institute of Technology & ScienceMore Details |  |,Pilani,Rajasthan,55.79,15
IR-O-U-0490,Vellore Institute of TechnologyMore Details |  |,Vellore,Tamil Nadu,55.22,16
IR-O-U-0496,Aligarh Muslim UniversityMore Details |  |,Aligarh,Uttar Pradesh,54.3,17
IR-O-U-0308,Institute of Chemical TechnologyMore Details |  |,Mumbai,Maharashtra,54.1,18
IR-O-U-0006,Andhra UniversityMore Details |  |,Visakhapatnam,Andhra Pradesh,53.82,19
IR-O-U-0363,Siksha `O` AnusandhanMore Details |  |,Bhubaneswar,Odisha,53.1,20
IR-O-U-0107,Jamia HamdardMore Details |  |,New Delhi,Delhi,52.6,21
IR-O-I-1357,University of MadrasMore Details |  |,Chennai,Tamil Nadu,52.55,22
IR-O-U-0260,Kerala UniversityMore Details |  |,Thiruvananthapuram,Kerala,52.35,23
IR-O-U-0356,Kalinga Institute of Industrial TechnologyMore Details |  |,Bhubaneswar,Odisha,52.33,24
IR-O-U-0476,Shanmugha Arts Science Technology & Research AcademyMore Details |  |,Thanjavur,Tamil Nadu,52.22,25
IR-O-U-0078,Panjab UniversityMore Details |  |,Chandigarh,Chandigarh,51.85,26
IR-O-U-0235,Mysore UniversityMore Details |  |,Mysuru,Karnataka,51.84,27
IR-O-I-1486,Sri Ramachandra Institute of Higher Education And ResearchMore Details |  |,Chennai,Tamil Nadu,51.32,28
IR-O-U-0027,Osmania UniversityMore Details |  |,Hyderabad,Telangana,51.15,29
IR-O-U-0262,Mahatma Gandhi UniversityMore Details |  |,Kottayam,Kerala,50.93,30
IR-O-I-1480,Thapar Institute of Engineering & TechnologyMore Details |  |,Patiala,Punjab,50.65,31
IR-O-U-0523,King George`s Medical UniversityMore Details |  |,Lucknow,Uttar Pradesh,50.45,32
IR-O-U-0222,JSS Academy of Higher Education and ResearchMore Details |  |,Mysuru,Karnataka,50.2,33
IR-O-U-0331,Tata Institute of Social SciencesMore Details |  |,Mumbai,Maharashtra,50.1,34
IR-O-U-0473,S. R. M. Institute of Science and TechnologyMore Details |  |,Chennai,Tamil Nadu,50.07,35
IR-O-U-0435,Alagappa UniversityMore Details |  |,Karaikudi,Tamil Nadu,49.22,36
IR-O-U-0497,Amity University NoidaMore Details |  |,Gautam Budh Nagar,Uttar Pradesh,49.02,37
IR-O-U-0037,Sri Venkateswara UniversityMore Details |  |,Tirupati,Andhra Pradesh,48.84,38
IR-O-U-0474,Sathyabama Institute of Science and TechnologyMore Details |  |,Chennai,Tamil Nadu,48.77,39
IR-O-U-0056,Tezpur UniversityMore Details |  |,Tezpur,Assam,48.77,39
IR-O-U-0020,Koneru Lakshmaiah Education Foundation UniversityMore Details |  |,Vaddeswaram,Andhra Pradesh,48.73,41
IR-O-I-1441,Saveetha Institute of Medical and Technical SciencesMore Details |  |,Chennai,Tamil Nadu,48.56,42
IR-O-U-0329,Symbiosis InternationalMore Details |  |,Pune,Maharashtra,48.35,43
IR-O-U-0136,Gujarat UniversityMore Details |  |,Ahmedabad,Gujarat,48.21,44
IR-O-U-0098,Delhi Technological UniversityMore Details |  |,New Delhi,Delhi,48.06,45
IR-O-I-1110,Dr. D. Y. Patil VidyapeethMore Details |  |,Pune,Maharashtra,47.92,46
IR-O-U-0052,Gauhati UniversityMore Details |  |,Guwahati,Assam,47.1,47
IR-O-U-0196,University of KashmirMore Details |  |,Srinagar,Jammu and Kashmir,46.99,48
IR-O-U-0341,North Eastern Hill UniversityMore Details |  |,Shillong,Meghalaya,46.88,49
IR-O-U-0589,Visva BharatiMore Details |  |,Santiniketan,West Bengal,46.84,50
IR-O-U-0376,Guru Nanak Dev UniversityMore Details |  |,Amritsar,Punjab,46.58,51
IR-O-U-0195,University of JammuMore Details |  |,Jammu,Jammu and Kashmir,46.55,52
IR-O-U-0448,Bharathidasan UniversityMore Details |  |,Tiruchirappalli,Tamil Nadu,46.41,53
IR-O-U-0251,Calicut UniversityMore Details |  |,Malappuram,Kerala,46.37,54
IR-O-U-0389,Banasthali VidyapithMore Details |  |,Banasthali,Rajasthan,46.32,55
IR-O-U-0642,Shiv Nadar UniversityMore Details |  |,Dadri,Uttar Pradesh,46.11,56
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management StudiesMore Details |  |,Mumbai,Maharashtra,46.01,57
IR-O-U-0369,Pondicherry UniversityMore Details |  |,Puducherry,Pondicherry,45.82,58
IR-O-U-0446,Bharath Institute of Higher Education & ResearchMore Details |  |,Chennai,Tamil Nadu,45.67,59
IR-O-U-0463,Madurai Kamaraj UniversityMore Details |  |,Madurai,Tamil Nadu,45.58,60
IR-O-U-0295,Datta Meghe Institute of Medical SciencesMore Details |  |,Wardha,Maharashtra,45.24,61
IR-O-U-0253,Cochin University of Science and TechnologyMore Details |  |,Cochin,Kerala,45.02,62
IR-O-I-1361,Bharati VidyapeethMore Details |  |,Pune,Maharashtra,44.84,63
IR-O-U-0383,Punjabi UniversityMore Details |  |,Patiala,Punjab,44.07,64
IR-O-U-0318,Mumbai UniversityMore Details |  |,Mumbai,Maharashtra,44,65
IR-O-U-0202,Birla Institute of TechnologyMore Details |  |,Ranchi,Jharkhand,43.5,66
IR-O-U-0345,Mizoram UniversityMore Details |  |,Aizawl,Mizoram,43.49,67
IR-O-U-0215,Bangalore UniversityMore Details |  |,Bangalore,Karnataka,43.33,68
IR-O-U-0298,Dr. Babasaheb Ambedkar Marathwada UniversityMore Details |  |,Aurangabad,Maharashtra,43.12,69
IR-O-U-0225,KLE Academy of Higher Education and ResearchMore Details |  |,Belagavi,Karnataka,43.1,70
IR-O-U-0011,Gandhi Institute of Technology and ManagementMore Details |  |,Visakhapatnam,Andhra Pradesh,42.79,71
IR-O-U-0458,Kalasalingam Academy of Research and Higher EducationMore Details |  |,Srivilliputtur,Tamil Nadu,42.57,72
IR-O-U-0232,Kuvempu UniversityMore Details |  |,Shimoga,Karnataka,42.45,73
IR-O-U-0239,NITTEMore Details |  |,Mangaluru,Karnataka,42.19,74
IR-O-U-0035,Sri Sathya Sai Institute of Higher LearningMore Details |  |,Anantapur,Andhra Pradesh,42.08,75
IR-O-I-1280,Maharshi Dayanand UniversityMore Details |  |,Rohtak,Haryana,41.95,76
IR-O-U-0321,Padmashree Dr. D. Y. Patil VidyapeethMore Details |  |,Mumbai,Maharashtra,41.74,77
IR-O-U-0379,Lovely Professional UniversityMore Details |  |,Phagwara,Punjab,41.69,78
IR-O-U-0014,International Institute of Information Technology HyderabadMore Details |  |,Hyderabad,Telangana,41.69,78
IR-O-U-0249,Visvesvaraya Technological UniversityMore Details |  |,Belgaum,Karnataka,41.63,80
IR-O-U-0121,Goa UniversityMore Details |  |,Goa,Goa,41.37,81
IR-O-U-0507,Dayalbagh Educational InstituteMore Details |  |,Agra,Uttar Pradesh,41.21,82
IR-O-U-0470,Periyar UniversityMore Details |  |,Salem,Tamil Nadu,41.09,83
IR-O-U-0051,Dibrugarh UniversityMore Details |  |,Dibrugarh,Assam,41.05,84
IR-O-U-0223,Jain UniversityMore Details |  |,Bengluru,Karnataka,41.03,85
IR-O-U-0250,Yenepoya UniversityMore Details |  |,Mangaluru,Karnataka,40.99,86
IR-O-U-0372,Central University of PunjabMore Details |  |,Bathinda,Punjab,40.93,87
IR-O-U-0370,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College CampusMore Details |  |,Puducherry,Pondicherry,40.92,88
IR-O-U-0576,Kalyani UniversityMore Details |  |,Kalyani,West Bengal,40.91,89
IR-O-C-23033,Krishna Institute of Medical SciencesMore Details |  |,Karad,Maharashtra,40.87,90
IR-O-U-0453,The Gandhigram Rural InstituteMore Details |  |,Gandhigram,Tamil Nadu,40.65,91
IR-O-U-0569,The University of BurdwanMore Details |  |,Bardhaman,West Bengal,40.55,92
IR-O-U-0168,Maharishi MarkandeshwarMore Details |  |,Ambala,Haryana,40.49,93
IR-O-U-0162,Guru Jambheshwar University of Science and TechnologyMore Details |  |,Hisar,Haryana,40.43,94
IR-O-U-0099,Guru Gobind Singh Indraprastha UniversityMore Details |  |,New Delhi,Delhi,40.24,95
IR-O-U-0366,Utkal UniversityMore Details |  |,Bhubaneswar,Odisha,40.05,96
IR-O-U-0555,Graphic Era UniversityMore Details |  |,Dehradun,Uttarakhand,40.04,97
IR-O-U-0451,Chettinad Academy of Research and EducationMore Details |  |,Kanchipuram District,Tamil Nadu,39.97,98
IR-O-U-0164,Kurukshetra UniversityMore Details |  |,Kurukshetra,Haryana,39.79,99
IR-O-U-0043,"Vignan's Foundation for Science, Technology & ResearchMore Details |  |",Guntur,Andhra Pradesh,39.71,100
