Institute ID,Name,City,State,Score,Rank
IR-M-S-8890,Indian Institute of Management AhmedabadMore Details |  |,Ahmedabad,Gujarat,82.75,1
IR-M-S-8903,Indian Institute of Management BangaloreMore Details |  |,Bengaluru,Karnataka,81.32,2
IR-M-S-8972,Indian Institute of Management CalcuttaMore Details |  |,Kolkata,West Bengal,80.39,3
IR-M-S-8959,Indian Institute of Management LucknowMore Details |  |,Lucknow,Uttar Pradesh,73.85,4
IR-M-U-0573,Indian Institute of Technology KharagpurMore Details |  |,Kharagpur,West Bengal,70.43,5
IR-M-S-8909,Indian Institute of Management KozhikodeMore Details |  |,Kozhikode,Kerala,69.96,6
IR-M-S-8918,Indian Institute of Management IndoreMore Details |  |,Indore,Madhya Pradesh,69.04,7
IR-M-I-1074,Indian Institute of Technology DelhiMore Details |  |,New Delhi,Delhi,67.19,8
IR-M-S-132,Xavier Labour Relations Institute (XLRI)More Details |  |,Jamshedpur,Jharkhand,67.11,9
IR-M-I-1170,Management Development InstituteMore Details |  |,Gurugram,Haryana,65.95,10
IR-M-U-0306,Indian Institute of Technology BombayMore Details |  |,Mumbai,Maharashtra,65.76,11
IR-M-U-0560,Indian Institute of Technology RoorkeeMore Details |  |,Roorkee,Uttarakhand,62.87,12
IR-M-S-8931,National Institute of Industrial EngineeringMore Details |  |,Mumbai,Maharashtra,62.87,12
IR-M-U-0456,Indian Institute of Technology MadrasMore Details |  |,Chennai,Tamil Nadu,61.77,14
IR-M-S-8948,Indian Institute of Management TiruchirappalliMore Details |  |,Tiruchirappalli,Tamil Nadu,60.79,15
IR-M-I-1075,Indian Institute of Technology KanpurMore Details |  |,Kanpur,Uttar Pradesh,60.53,16
IR-M-S-8942,Indian Institute of Management UdaipurMore Details |  |,Udaipur,Rajasthan,59.57,17
IR-M-I-1044,S. P. Jain Institute of Management and ResearchMore Details |  |,Mumbai,Maharashtra,56.93,18
IR-M-S-8868,Indian Institute of Management RaipurMore Details |  |,Raipur,Chhattisgarh,56.12,19
IR-M-S-8904,Indian Institute of Management RanchiMore Details |  |,Ranchi,Jharkhand,55.97,20
IR-M-S-8895,Indian Institute of Management RohtakMore Details |  |,Rohtak,Haryana,55.91,21
IR-M-C-19343,Symbiosis Institute of Business ManagementMore Details |  |,Pune,Maharashtra,55.82,22
IR-M-N-16,Great Lakes Institute of ManagementMore Details |  |,Chennai,Tamil Nadu,55.8,23
IR-M-N-10,SVKM`s Narsee Monjee Institute of Management StudiesMore Details |  |,Mumbai,Maharashtra,55.44,24
IR-M-U-0012,ICFAI Foundation for Higher EducationMore Details |  |,Hyderabad,Telangana,55.21,25
IR-M-U-0102,Indian Institute of Foreign TradeMore Details |  |,New Delhi,Delhi,55.01,26
IR-M-S-156,T. A. Pai Management InstituteMore Details |  |,Manipal,Karnataka,54.85,27
IR-M-I-1064,International Management InstituteMore Details |  |,New Delhi,Delhi,54.65,28
IR-M-U-0205,Indian Institute of Technology (Indian School of Mines)More Details |  |,Dhanbad,Jharkhand,53.71,29
IR-M-S-8937,Indian Institute of Management ShillongMore Details |  |,Shillong,Meghalaya,53.56,30
IR-M-N-354,Xavier Institute of Management (XIMB)More Details |  |,Bhubaneswar,Odisha,52.55,31
IR-M-U-0356,Kalinga Institute of Industrial TechnologyMore Details |  |,Bhubaneswar,Odisha,52.15,32
IR-M-S-8967,Indian Institute of Management KashipurMore Details |  |,Kashipur,Uttarakhand,52.07,33
IR-M-U-0108,Jamia Millia IslamiaMore Details |  |,New Delhi,Delhi,51.41,34
IR-M-U-0467,National Institute of Technology TiruchirappalliMore Details |  |,Tiruchirappalli,Tamil Nadu,50.49,35
IR-M-U-0500,Banaras Hindu UniversityMore Details |  |,Varanasi,Uttar Pradesh,49.51,36
IR-M-S-394,Institute of Management TechnologyMore Details |  |,Ghaziabad,Uttar Pradesh,48.27,37
IR-M-U-0735,BML Munjal UniversityMore Details |  |,Gurgaon,Haryana,48.27,37
IR-M-U-0213,Alliance UniversityMore Details |  |,Bengaluru,Karnataka,47.47,39
IR-M-S-15962,Indian Institute of ManagementMore Details |  |,Nagpur,Maharashtra,47.38,40
IR-M-U-0497,Amity University NoidaMore Details |  |,Gautam Budh Nagar,Uttar Pradesh,47.35,41
IR-M-U-0078,Panjab UniversityMore Details |  |,Chandigarh,Chandigarh,47.22,42
IR-M-I-1066,FORE School of ManagementMore Details |  |,New Delhi,Delhi,47.11,43
IR-M-U-0146,Nirma UniversityMore Details |  |,Ahmedabad,Gujarat,46.75,44
IR-M-U-0496,Aligarh Muslim UniversityMore Details |  |,Aligarh,Uttar Pradesh,46.71,45
IR-M-C-37013,PSG College of TechnologyMore Details |  |,Coimbatore,Tamil Nadu,46.69,46
IR-M-S-354,Birla Institute of Management TechnologyMore Details |  |,Greater Noida,Uttar Pradesh,46.65,47
IR-M-S-87,Goa Institute of ManagementMore Details |  |,Sanquelim,Goa,46.63,48
IR-M-U-0379,Lovely Professional UniversityMore Details |  |,Phagwara,Punjab,46.58,49
IR-M-S-331,Loyola Institute of Business AdministrationMore Details |  |,Chennai,Tamil Nadu,46.51,50
IR-M-U-0747,Chandigarh UniversityMore Details |  |,Mohali,Punjab,46.4,51
IR-M-I-1408,International Management InstituteMore Details |  |,Kolkata,West Bengal,46.22,52
IR-M-I-1238,Institute for Financial Management and ResearchMore Details |  |,"Sri City, Chittoor",Andhra Pradesh,46.16,53
IR-M-I-1480,Thapar Institute of Engineering & TechnologyMore Details |  |,Patiala,Punjab,46.14,54
IR-M-U-0490,Vellore Institute of TechnologyMore Details |  |,Vellore,Tamil Nadu,45.89,55
IR-M-S-220,K. J. Somaiya Institute of Management Studies & ResearchMore Details |  |,Mumbai,Maharashtra,45.5,56
IR-M-U-0099,Guru Gobind Singh Indraprastha UniversityMore Details |  |,New Delhi,Delhi,45.22,57
IR-M-U-0202,Birla Institute of TechnologyMore Details |  |,Ranchi,Jharkhand,45.13,58
IR-M-U-0439,Anna UniversityMore Details |  |,Chennai,Tamil Nadu,44.81,59
IR-M-I-1048,Institute of Management TechnologyMore Details |  |,Nagpur,Maharashtra,44.71,60
IR-M-I-1132,Institute of Management TechnologyMore Details |  |,Hyderabad,Telangana,44.38,61
IR-M-I-1058,Indian Institute of Forest ManagementMore Details |  |,Bhopal,Madhya Pradesh,44.26,62
IR-M-I-1124,International Management InstituteMore Details |  |,Bhubaneswar,Odisha,44.02,63
IR-M-I-1156,Bharati Vidyapeeth?s Institute of Management and Entrepreneurship DevelopmentMore Details |  |,Pune,Maharashtra,44.02,63
IR-M-U-0851,IIHMR UNIVERSITYMore Details |  |,Jaipur,Rajasthan,43.97,65
IR-M-U-0564,University of Petroleum and Energy StudiesMore Details |  |,Dehradun,Uttarakhand,43.73,66
IR-M-C-32855,Jagan Institute of Management StudiesMore Details |  |,Delhi,Delhi,43.45,67
IR-M-C-34129,Principal L N Welingkar Institute of Management Development and ResearchMore Details |  |,Mumbai,Maharashtra,43.4,68
IR-M-S-3283,Jaipuria Institute of ManagementMore Details |  |,Noida,Uttar Pradesh,43.38,69
