IR-D-N-15,All India Institute of Medical SciencesMore Details |  |,New Delhi,Delhi,90.69,1
IR-D-U-0079,Post Graduate Institute of Medical Education and ResearchMore Details |  |,Chandigarh,Chandigarh,80.06,2
IR-D-C-45654,Christian Medical CollegeMore Details |  |,Vellore,Tamil Nadu,73.56,3
IR-D-U-0236,National Institute of Mental Health & Neuro SciencesMore Details |  |,Bangalore,Karnataka,71.35,4
IR-D-N-33,Sanjay Gandhi Postgraduate Institute of Medical SciencesMore Details |  |,Lucknow,Uttar Pradesh,70.21,5
IR-D-U-0500,Banaras Hindu UniversityMore Details |  |,Varanasi,Uttar Pradesh,64.72,6
IR-D-U-0436,Amrita Institute of Medical Sciences & ResearchMore Details |  |,Kochi,Kerala,64.39,7
IR-D-U-0368,Jawaharlal Institute of Post Graduate Medical Education & ResearchMore Details |  |,Puducherry,Pondicherry,63.17,8
IR-D-C-7242,Kasturba Medical CollegeMore Details |  |,Manipal,Karnataka,62.84,9
IR-D-U-0523,King George`s Medical UniversityMore Details |  |,Lucknow,Uttar Pradesh,62.2,10
IR-D-U-0106,Institute of Liver and Biliary SciencesMore Details |  |,New Delhi,Delhi,61.58,11
IR-D-C-49008,Madras Medical College and Government General HospitalMore Details |  |,Chennai,Tamil Nadu,58.84,12
IR-D-I-1486,Sri Ramachandra Institute of Higher Education And ResearchMore Details |  |,Chennai,Tamil Nadu,57.9,13
IR-D-C-40453,St. John's Medical CollegeMore Details |  |,Bengaluru,Karnataka,57.83,14
IR-D-U-0496,Aligarh Muslim UniversityMore Details |  |,Aligarh,Uttar Pradesh,56.22,15
IR-D-C-32922,Vardhman Mahavir Medical College & Safdarjung HospitalMore Details |  |,New Delhi,Delhi,56.12,16
IR-D-C-6414,Maulana Azad Medical CollegeMore Details |  |,Delhi,Delhi,55.31,17
IR-D-C-29209,Christian Medical CollegeMore Details |  |,Ludhiana,Punjab,55.01,18
IR-D-I-1409,University College of Medical SciencesMore Details |  |,Delhi,Delhi,55,19
IR-D-C-35009,JSS Medical CollegeMore Details |  |,Mysore,Karnataka,54.32,20
IR-D-C-7251,Kasturba Medical CollegeMore Details |  |,Mangaluru,Karnataka,53.83,21
IR-D-U-0107,Jamia HamdardMore Details |  |,New Delhi,Delhi,52.87,22
IR-D-U-0363,Siksha `O` AnusandhanMore Details |  |,Bhubaneswar,Odisha,52.72,23
IR-D-I-1110,Dr. D. Y. Patil VidyapeethMore Details |  |,Pune,Maharashtra,52.05,24
IR-D-C-29442,Govt. Medical College & HospitalMore Details |  |,Chandigarh,Chandigarh,52.01,25
IR-D-C-29255,Dayanand Medical CollegeMore Details |  |,Ludhiana,Punjab,51.74,26
IR-D-N-17,Sawai Man Singh Medical CollegeMore Details |  |,Jaipur,Rajasthan,50.44,27
IR-D-C-45515,PSG Institute of Medical Sciences & ResearchMore Details |  |,Coimbatore,Tamil Nadu,50.44,27
IR-D-U-0295,Datta Meghe Institute of Medical SciencesMore Details |  |,Wardha,Maharashtra,50.21,29
IR-D-C-40345,M. S. Ramaiah Medical CollegeMore Details |  |,Bengaluru,Karnataka,50.02,30
IR-D-U-0473,S. R. M. Institute of Science and TechnologyMore Details |  |,Chennai,Tamil Nadu,49.06,31
IR-D-U-0356,Kalinga Institute of Industrial TechnologyMore Details |  |,Bhubaneswar,Odisha,48.18,32
IR-D-U-0168,Maharishi MarkandeshwarMore Details |  |,Ambala,Haryana,48.13,33
IR-D-I-1441,Saveetha Institute of Medical and Technical SciencesMore Details |  |,Chennai,Tamil Nadu,46.49,34
IR-D-U-0443,Annamalai UniversityMore Details |  |,Annamalainagar,Tamil Nadu,46.47,35
IR-D-C-19319,K. S. Hegde Medical AcademyMore Details |  |,Mangaluru,Karnataka,46.31,36
IR-D-C-23033,Krishna Institute of Medical SciencesMore Details |  |,Karad,Maharashtra,46,37
IR-D-U-0036,Sri Venkateswara Institute of Medical SciencesMore Details |  |,Tirupati,Andhra Pradesh,45.93,38
IR-D-C-9435,Regional Institute of Medical SciencesMore Details |  |,Imphal West,Manipur,45.93,38
IR-D-C-47762,Mahatma Gandhi Medical College and Research InstituteMore Details |  |,Puducherry,Pondicherry,45.62,40
