title,url,summary,user_count,rating,rating_count,last_updated,category,offered_by,img_url,description,language,developer_info
Adblock Plus - free ad blocker,https://chrome.google.com/webstore/detail/adblock-plus-free-ad-bloc/cfhdojbkjhnklbpkdaibdccddilifddb,"Block YouTube™ ads, pop-ups & fight malware!",10000000,4.4,172368,"November 17, 2020",Productivity,Offered by: adblockplus.org,https://lh3.googleusercontent.com/hsGHgik21otJQduq3DAKyUwV9mFlak_yPhMvyzs4pBmIlumPF_v_LYfRofwv71ktW1DmNAyt=w128-h128-e365-rj-sc0x00ffffff,"The Adblock Plus for Chrome™ ad blocker has been downloaded over 500 million times and is one of the most popular and trusted on the market. Users get fast, sleek ad-blocking capabilities to enjoy sites like YouTube™ interruption free. 

✓ Block annoying video ads and banners
✓ Block pop ups
✓ Stop tracking and give yourself more privacy
✓ Fight off destructive malvertising that can hide in ads
✓ Give yourself faster browsing (as resources are blocked from loading)
✓ Customize features, like whitelisting for favorite sites
✓ Get free and constant support
✓ Give yourself simply more control of the experience you want

Adblock Plus for Chrome™ is the adblocker to help you fall in love with the internet again, and gives you the chance to customize your experience.

ⓘ To use Adblock Plus, just click on ""Add to Chrome"". Click on the ABP icon to see how many ads you've blocked, to change your settings, or report an error. It’s that easy!

Adblock Plus supports the Acceptable Ads (AA) (www.acceptableads.com) initiative by default, a project that looks for a middle way, to support websites that rely on advertising revenue yet take into account the customer experience. If you do not wish to see Acceptable Ads, this can be turned off at any time: https://adblockplus.org/de/acceptable-ads#optout.

What some of our users say:

Joshua Blackerby - ★★★★★
“Awesome, It blocks every ad on every site, also works on social media.”

khorne, The blood god - ★★★★★
“So far, adblock plus has worked perfectly for YouTube watching and other sites.”

Matej K - ★★★★★
“Does exactly what it says. No more annoying pop-ups, accidental clicks on malware ads and nothing getting in your way of enjoying the internet. It's easy to turn off if a site blocks it or if you want to support someone through ad revenue.”

Peter Haralanov - ★★★★★
“I am using it for years now. It does what it's supposed to.
One of the most useful extensions ever!”

************

Please Note: When installing Adblock Plus for Google Chrome™, you will receive a warning that Adblock Plus will receive access to your browsing history and data. This is a standard message - we NEVER collect any user information.

By downloading and installing this extension, you agree to our Terms of Use https://adblockplus.org/terms and our Privacy Policy https://adblockplus.org/privacy.

Adblock Plus is also available for Firefox and Edge.

************

Release announcements and changelogs can be found at: http://adblockplus.org/releases/

Problem with the extension? Try reloading Google Chrome™ and/or opening the Adblock Plus settings, clicking the Advanced tab, and clicking Update all filter lists.

Found a bug? Check known issues at https://adblockplus.org/bugs or visit our forum at https://adblockplus.org/forum/viewforum.php?f=10

If you feel adventurous you can always try out the development builds to get the latest features of Adblock Plus for Google Chrome™. These builds are updated separately with independent settings. https://adblockplus.org/development-builds",,[Contact the developer](mailto:info@eyeo.com)[Privacy Policy](https://adblockplus.org/privacy)
Google Classroom,https://chrome.google.com/webstore/detail/google-classroom/mfhehppjhmmnlfbbopchdfldgimhfhfk,"Classroom helps teachers save time, keep classes organized, and improve communication with students.",10000000,4,1248,"May 25, 2017",Extensions,Offered by: https://classroom.google.com,https://lh3.googleusercontent.com/1X6Hm6QkICShvFTs5AJHvUs-zoxolZlGBMzqVePbwWTef_sd3l26MLQjEvv-nkok6j0aJidd7A=w128-h128-e365-rj-sc0x00ffffff,"Classroom is a new tool in Google Apps for Education that helps teachers create and organize assignments quickly, provide feedback efficiently, and easily communicate with their classes. Classroom helps students organize their work in Google Drive, complete and turn it in, and communicate directly with their teachers and peers.

Create and collect assignments:  Classroom weaves together Google Docs, Drive and Gmail to help teachers create and collect assignments paperlessly. They can quickly see who has or hasn't completed the work, and provide direct, real-time feedback to individual students.

Improve class communications:  Teachers can make announcements, ask questions and comment with students in real time—improving communication inside and outside of class.

Stay organized:  Classroom automatically creates Drive folders for each assignment and for each student. Students can easily see what’s due on their Assignments page.

Learn more about our privacy policy at https://www.google.com/policies/privacy/",,[Privacy Policy](https://www.google.com/policies/privacy)
Screencastify - Screen Video Recorder,https://chrome.google.com/webstore/detail/screencastify-screen-vide/mmeijimgabbpbgpdklnllpncmdofkcpn,"The #1 screen recorder for Chrome. Capture, edit and share videos in seconds.",10000000,4,11347,"November 17, 2020",Productivity,Offered by: https://www.screencastify.com,https://lh3.googleusercontent.com/pbCocE1lBFYiq_XJJWjlrxU2uDbHLBQDMLaLzzpPYnYg4i68jT9x526XE68svps7HfuH6VhaoA=w128-h128-e365-rj-sc0x00ffffff,"**************************** 📣BIG NEWS 📣******************************
All of our recording features are now free! Enjoy unlimited recordings up 
to 5 minutes each - with no watermark, ever!  We’ve also unlocked video 
trimming and export options for free users 🎉
****************************************************************************

Screencastify is Chrome's most trusted screen recorder.

✔ Millions and millions of weekly users
✔ 2.6 million hours recorded in 2019
✔ #1 most installed Chrome screen recorder 
✔ Incredibly easy to learn and use 

🎥 Record
▸ Desktop, browser tab or webcam capture
▸ Narrate with your microphone’s audio
▸ Embed your webcam into the recording
▸ Full HD resolution

✄ Edit 
▸ Trim the start and end of your videos
▸ Draw on your tab with the pen tool
▸ Merge, crop, and add text to videos (upgrade required)

🚀 Share
▸ Videos autosave to Google Drive
▸ Copy shareable Drive link with one click
▸ Publish directly to your YouTube channel
▸ Share to Google Classroom
▸ Save and manage videos locally
▸ Export as MP4, animated GIF, or MP3

-------------------------------------------

“Screencastify is the simplest tool I’ve ever used to record my screen. Even my 3rd graders picked it up instantly.” - Jillian B. (Elementary School Teacher)

“Screencastify is just awesome. I used to use bulky screencast / screenshot software...including SnagIt, Camtasia AND Screencast-O-Matic. Screencastify does everything I need and lives right in my browser.” - Devon L. (Product Manager)

""I set up all 1200 of my district's students with Screencastify in two clicks. It was almost TOO easy!"" - Greg P. (Director of Technology)

“As a UX designer, I’m head over heels in love with Screencastify. I can record, watch and listen to a user’s every reaction and movement. It’s so awesome.” - Harry H. (UX Designer)

-------------------------------------------

How do people use Screencastify for screen recording and capture?

🎓 Education:
▸ Strong enough for universities, safe enough for kindergarteners
▸ CommonSense.org Top Pick
▸ Teachers save time, increase effectiveness
▸ Perfect for flipped classrooms
▸ Enable more 1:1 feedback
▸ Language, public speaking, comprehension practice
▸ Designed for Chromebooks
▸ Google Suite, Google Apps For Education and Google Classroom ready

💻 UX Designers: 
▸ Capture detailed user experiences
▸ Track facial reactions on webcam
▸ Find and demonstrate bugs with videos

📈 Marketers:
▸ Users prefer video over any other medium
▸ Create how to's, presentations, demos, etc
▸ Share an engaging brand message

👥 Account Managers:
▸ Speed up communication and save money
▸ Create 30 second demos for clients
▸ No more repetitive explanatory emails 

📚 Corporate Training:
▸ Practice sales pitches and other skills
▸ Uncover weaknesses and opportunities

🌍 Everyone Else:
With millions of weekly users, we’ve been able to accommodate just about any and every screen recording idea - from professional YouTubers to UFO hunters. What are you waiting for? Install Screencastify and inspire the world with your screencasts. 

-------------------------------------------

📝 Specs:
▸ Screencasts are captured as webm/vp8 files with ogg vorbis audio
▸ Videos can be saved to your local disk as various file types (GIF, MP4, etc), directly to your Google Drive, published to Youtube, or you can share the link virtually anywhere
▸ Screencastify does not depend on any external software (like Java, Flash or other plugins) so it runs on Chrome OS, Chromebooks, and Chromeboxes
▸ Screen recording is a CPU intensive task. Older or weaker computers may lag if multiple programs and tabs are open at the same time as a screencast


📨 Info / Contact Us:
▸ Twitter:  @Screencastify
▸ Support Docs:  https://help.screencastify.com 
▸ FAQs: https://screencastify.com/faq
▸ Tech Support:   support@screencastify.com",English,"[Contact the developer](mailto:support@screencastify.com)[Privacy Policy](https://www.screencastify.com/privacy/policy)

227 W Monroe St Ste 5200 Chicago, IL 60606 USA"
Honey,https://chrome.google.com/webstore/detail/honey/bmnlcjabgnpnenekpadlanbbkooimhnj,Automatically find and apply coupon codes when you shop online!,10000000,4.8,162447,"November 17, 2020",Shopping,Offered by: https://www.joinhoney.com,https://lh3.googleusercontent.com/yobZ1GI3qmJVYKd60XYc5VHrCscsgtROgxGxnaAPmk__nlQXr8_3DtOnggHKhWmyGFJbPvFZSw=w128-h128-e365-rj-sc0x00ffffff,"Automatically apply coupons on 30,000+ sites. Join 17 million members who shop with confidence.

Love saving money? Just wait til you try Honey.

We automatically search for and apply coupons when you shop online.

One click and we test different codes and apply the best one to your cart.

From pizza to furniture and shoes to travel, our members save an average of $126 a year. 

Want better Amazon prices? We compare sellers - even factoring in shipping and Prime status. Throw in price tracking and price history tools for more chances to save. 

Stack up deals on deals with rewards. Earn Honey Gold when you shop millions of items. Redeem your Honey Gold points for gift cards from your favorite stores. (Terms Apply)

Honey also helps you know when it’s the right time to buy. When you’re on select sites, add items to Droplist and we’ll let you know if we detect a price drop.

Throw in exclusive Honey promo codes and offers for even more ways to save.

It all adds up to a suite of shopping features that takes the guesswork out of buying.

Check out some of our 100K five-star reviews. Or better yet, get in on the deals yourself.

Honey is part of the PayPal family. And you’re invited to join us.
 
-------------------------------------------------------
 
By using this add-on, you agree to the Honey Terms & Conditions available at http://www.joinhoney.com/terms

Disclaimer:
This extension uses Google Analytics to collect extension usage statistics to help improve user experience. If you want to opt-out of Google Analytics tracking, please visit http://tools.google.com/dlpage/gaoptout or you can set up a filter in Adblock Plus or similar ad blocker tools like AdBlock, uBlock or Adblock Pro.",,"[Contact the developer](mailto:info@joinhoney.com)[Privacy Policy](https://www.joinhoney.com/privacy)

990 W 8th Street Suite 600 Los Angeles, CA 90017 United States"
Google Translate,https://chrome.google.com/webstore/detail/google-translate/aapbdbdomjkkjkaonfhkkikfgjllcleb,View translations easily as you browse the web. By the Google Translate team.,10000000,4.4,43301,"March 17, 2020",Productivity,Offered by: translate.google.com,https://lh3.googleusercontent.com/i-W9WaKvl4pdD-g7znhbF25OotE0gzIzs7i8gT7-fjU3D49eIfHwovQb0nJmgjlIC-l1LgIN=w128-h128-e365-rj-sc0x00ffffff,"Highlight or right-click on a section of text and click on Translate icon next to it to translate it to your language. Or, to translate the entire page you're visiting, click the translate icon on the browser toolbar. 

Learn more about Google Translate at https://support.google.com/translate.

By installing this extension, you agree to the Google Terms of Service and Privacy Policy at https://www.google.com/intl/en/policies.

UPDATE (v.2.0): Now you can highlight or right-click a text and translate it vs. translate the entire page. You can also change extension options to automatically show translation every time you highlight text.",,
Google Photos,https://chrome.google.com/webstore/detail/google-photos/hcglmfcclpfgljeaiahehebeoaiicbko,"Store, search, and share a lifetime of photos",10000000,4.5,3670,"July 15, 2016",Extensions,Offered by: https://photos.google.com,https://lh3.googleusercontent.com/W3ehnY6qyc_JPBGvZFkMOAlNrk-X-Mg8oKpx_tKQi-E1XKqKWAv4Z2o780namb-zo_dyk0Na=w128-h128-e365-rj-sc0x00ffffff,"Automatically organized and searchable by the people, places, and things in them, your photos are always easy to find and share. Store an unlimited amount of photos and videos at high quality for free, and access them anywhere.

• VISUAL SEARCH – Your photos are now searchable by the places and things that appear in them. Looking for that fish taco you ate in Hawaii? Just search “food in Hawaii” to find it, even if it doesn’t have a description.

• ALL YOUR PHOTOS, ALWAYS WITH YOU – All your photos and videos can be safely backed up and made accessible on any device. Store unlimited photos and videos at high quality for free, or store at original size that counts towards your Google account storage.

• FAST EDITING – Transform photos with a click. Use simple, yet powerful, photo and video editing tools to apply filters, adjust colors, and more.

• BRING PHOTOS TO LIFE – Automatically get animated GIFs, montage movies, collages, panoramas, and more from your photos and videos.

• EASY SHARING – Instantly share hundreds of photos to anyone with just a link.  Recipients can view the photos on any device, and easily save them to their own Google Photos library with one click.

• CAST – Easily share your photos and videos to your TV with the Google Cast extension (installed separately).

Follow us for the latest news and updates

Twitter: https://twitter.com/GooglePhotos 
Google+: https://google.com/+GooglePhotos 
",English (United States),[Contact the developer](mailto:first-party-chrome-apps@google.com)[Privacy Policy](https://www.google.com/policies/privacy)
Tampermonkey,https://chrome.google.com/webstore/detail/tampermonkey/dhdgffkkebhmkfjojejmpbldmpobfkfo,The world's most popular userscript manager,10000000,4.7,66108,"November 15, 2020",Productivity,Offered by: tampermonkey.net,https://lh3.googleusercontent.com/pvJD0m2kLAv5JdInXc0f3hh38s9Tzg65LEw20Giy4s9nmbLoS7qDufHVOw69n0rpBe-dYEfgxMU=w128-h128-e365-rj-sc0x00ffffff,"Tampermonkey is the most popular userscript manager, with over 10 million users.

Tampermonkey is used to run so called userscripts (sometimes also called Greasemonkey scripts). Userscripts are little computer programs that for example add download buttons to YouTube pages, cleanup your Facebook timeline or help playing an online game.

######## Features ########

 - manage and edit your userscripts
 - enable and disable your scripts with 2 clicks
 - script synchronization via Chrome Sync and cloud storage (Google Drive, Dropbox, OneDrive, Yandex.Disk and WebDAV)
 - backup and restore via zip file and/or cloud storage

For a full overview please take a look at the FAQ or just install this extension. ;)

Thanks for using Tampermonkey. :)

########## Bugs ##########

Please DON'T report bugs by a review, BUT HERE:
 - http://tampermonkey.net/bug
 - https://github.com/Tampermonkey/tampermonkey/issues

######## Changelog #######

http://tampermonkey.net/changelog.php?ext=dhdg

########## FAQ ###########

http://tampermonkey.net/faq",,[Contact the developer](mailto:support@tampermonkey.net)[Privacy Policy](http://tampermonkey.net/privacy.php)
Netflix Party is now Teleparty,https://chrome.google.com/webstore/detail/netflix-party-is-now-tele/oocalimimngaihdkbihfgmpkcpnmlaoa,"Watch Netflix, Disney Plus, Hulu and HBO in sync with friends",10000000,2.7,4221,"October 14, 2020",Fun,Offered by: https://www.netflixparty.com,https://lh3.googleusercontent.com/VfZEM1lSfk2RYk6PjRXEHv4qBkSbd9g2tV5Jha2ncTd9HwwR8M9P5xbf1gpnIhrD_PaIAuhD=w128-h128-e365-rj-sc0x00ffffff,"Watch Netflix, Disney Plus, Hulu and HBO in sync with friends

Teleparty is a browser extension for watching TV remotely with friends, e.g., for movie nights with that long-distance special someone. It synchronizes video playback and adds group chat to your favorite streaming sites.

Join over 10 million people and use Teleparty to link up with friends and host long distance movie nights and TV watch parties today!

In version 2.0.0 of Teleparty, we are adding support for Netflix, Disney, Hulu and HBO, with many more services on the way. As part of this update we are renaming Netflix Party to Teleparty.

Version 2.0.1 changes:
-Fixes for the Teleparty update
-Fix for Netflix video player experiments breaking chat sidebar for a small subset of users
-Fix Disney+ for international users
-Fix Hulu sync issues when typing

Version 2.0.0 changes:
-Adds 3 new services - Disney+, Hulu and HBO
-Long parties for binge-watching consecutive episodes in sync
-Ad sync for watching along with friends with Hulu ads
-Works for HBO Max & HBO Now viewers
-Works for Hulu ad-based & ad-free viewers

Version 1.8.3 changes:
-Fixes bug where starting/joining a party sometimes glitches when Netflix video is loading

Version 1.8.2 changes:
-Fix for video player experiments breaking chat sidebar for a small subset of users

Version 1.7.9 changes:
-10 more servers
-Chat quality & security improvements

Version 1.7.8 changes:
-Allowed users who installed Netflix Party between 3/20-3/22 to start/join parties without reinstalling Netflix Party
-90 more servers

Version 1.7.7 changes:
-Fixed issue where some users would not be able to start or join parties
-50 servers
-Chat quality improvements
-Added ""Only I have Control"" option

Version 1.7.5 changes:
-Added tutorial link for new users
-70 servers
-Autoscaling
-Simple explanation on joining parties

Version 1.7.3/1.7.4 changes:
-Added 27 more servers

Version 1.7.1/2 changes:
-Added 2 more servers & fix to allow extension to work w global Netflix urls, e.g. www.netflix.de
-Added 3 more servers

Version 1.5.21 changes:
-Updated synchronization algorithm to fix random stuttering issues in watch parties

Version 1.5.19 / 1.5.20 changes:
-Updated database connection for newly installed extensions

Version 1.5.18 changes:
-Added extra servers to handle more users

Version 1.5.17 changes:
-Fixed chat sidebar bug where user icons and user settings were not rendering correctly

Version 1.5.16 changes:
-Reverting sync algorithm to sync from beginning of video to fix issue where episodes would skip for international users

Version 1.5.13/1.5.14/1.5.15 changes:
-Changed sync algorithm to sync based on remaining time 
-Sync change fixes bug in global parties where Netflix would add 5-15 second intro segments with the Netflix logo at the beginning of some shows in other countries, causing parties to be exactly 5-15 seconds out of sync

Version 1.5.12 changes:
-Fixed party links when copying party links from NP icon popup

Version 1.5.11 changes:
-Added extra server to deal with increased traffic

Version 1.5.10 changes:
-Fix for some Netflix Party urls directing to the title page instead of the episode/movie page when users clicked on ""Continue Watching"" when browsing before starting a party.

Version 1.5.9 changes:
-Hide Patreon link when users are choosing an icon or setting a nickname

Version 1.5.8 changes:
-Fixed autoplay bug where Netflix Party would occasionally skip 2 consecutive episodes instead of 1
-Edited sidebar style for consistent spacing for buffering and typing indicators
-Added Patreon link as an experiment

Version 1.5.7 changes:
-Edited chat sidebar design for space efficiency

Version 1.5.6 changes:
-Fixed sync issues where sync would jump back and forth for some users

Version 1.5.5 changes:
-Fixed extension loading issues when clicking on NP icon for Windows & Chrome OS users.

Version 1.5.3 changes:
-Long Netflix parties for binge-watching consecutive Netflix episodes (2/2)
-User icons and nicknames
-More precise sync within 0.5-1 seconds
-Faster buffering when jumping in the Netflix videos

Version 1.4.13 changes:
-Reduced chat bar width so Netflix videos appear much larger.

Version 1.4.12 changes:
-Updated socket transport protocol to fix bug where some users couldn't start Netflix Parties

Version 1.4.11 changes:
 -Fixed sync after Netflix video player update
 -Chat now works in fullscreen mode

Version 1.4.10 changes:
-10x better server (part 2/2)!

Version 1.4.9 changes:
-10x better server (part 1/2). Netflix Party should be much faster after part 2.

Version 1.4.8 changes:
-Summary statistics.

Version 1.4.7 changes:
-Metrics. Faster sync coming soon.

Version 1.4.6 changes:
-Fixed bug where Facebook broke URLs. Must update to new version 1.4.6 for fix.

Version 1.4.5 changes:
-Solicit feedback on uninstalls
-Begin transition to new server

Version 1.4.4 changes:
- Fixed copy url button

Version 1.4.0-1.4.3 changes:
- Google Analytics Integration

Version 1.3.9 changes:
- Added Test Participation Settings notice, since Netflix was running website experiments that interfered with Netflix Party

Version 1.3.8 changes: 
- Fixed sync issues for international users",English,[Contact the developer](mailto:netflixparty1@gmail.com)[Privacy Policy](https://www.netflixparty.com/privacy)
Kami Extension - PDF and Document Annotation,https://chrome.google.com/webstore/detail/kami-extension-pdf-and-do/ecnphlgnajanjnkcmbpancdjoidceilk,Best PDF and Document Annotation and Markup Tool. Works with Google Drive and Google Classroom,10000000,4.6,8579,"December 3, 2020",Productivity,Offered by: kamihq.com,https://lh3.googleusercontent.com/cJbQc-KRb1iyGZJYiZao7QTD-0PyO-ygAQiGa8kZcPXmoREWRUuEuYJ7BpZ62UCQEX6daC4jVA=w128-h128-e365-rj-sc0x00ffffff,"Kami is an essential tool for better online collaboration and annotation. Over 11 million educators and students worldwide use Kami in the classroom, at home, or a blend of both. Start your free 90-day trial today, and discover how Kami can improve your teaching and learning.

Kami’s intuitive design and collaborative features are specifically designed to improve classroom engagement and interaction – all while making the task of providing and completing classroom assignments effortless. Sign up today, for free!

Why Kami?
• Provide students with documents that they can complete using the full array of Kami tools.
• Have students return completed documents to you for in-app grading.
• Present a document on-screen and use Kami as a digital whiteboard overlay
• Share a document within teams or across the whole class for collaborative annotation, discussion, or debate.
• Reduce or totally eliminate the need for classroom printing.
• Support inclusive learning with tools for Special Education. 
• Full compliance with privacy and data security. 
• Ads-free with advanced tools available for upgrade.

Three ways to access Kami:
• Chrome Extension
• Web App
• Other browsers – access your Kami account on Google Chrome, Mozilla Firefox, Safari, Internet Explorer and more.

What’s included in the free version: 
*No credit card details required*
• Access to basic tools
• Auto-sync and save files to Google Drive
• Built-in OCR for scanned documents
• Convert files to PDF
• Ad-free experience

The premium version includes everything in the free version, plus:
• Integration with Google Classroom, Schoology and Canvas, including a built-in grading feature
• Access to all Kami tools and features (Split & Merge Documents, Accessibility tools, Voice and Video comments, and more)
• Priority email support

Kami Annotations Toolbar:
• Select: Hand Tool, Select Annotations
• Dictionary tool
• Text to Speech: Loop, Read Page, Change Voice, and Speed (Premium)
• Markup: Text Highlight, Box Highlight, Strikethrough, Underline
• Comment: Text, Voice (Premium), Video (Premium) and Screen Capture Comments (Premium)
• Text Box: Rich Text Editor
• Equation Editor: Insert Math and Music Symbols (Premium)
• Drawing: Adjust stroke, color, and transparency
• Shapes: Insert Circle, Square, and Line: Adjust stroke, color and transparency
• Eraser: All annotations or Drawings/Shapes Only
• Image: From the computer, Google Drive, Google Search, Stickers (Premium)
• Insert Signature (Premium)
(Updated: August 2020) 

Top Features:
• Integration with Google Classroom, Schoology and Canvas
• Auto-save to Google Drive
• Split and Merge documents (kami.app/splitandmerge)
• Real-time collaboration and auto-save with Google Drive
• Detect text on scanned files with built-in OCR
• Enable Kami as Default PDF Viewer

Files Supported:
• PDF (.pdf)
• Documents (Microsoft Word, Google Docs, RTF)
• Powerpoint (Microsoft Powerpoint, Google Slides)
• Sheets (Microsoft Excel, Google Sheets)
• Image Files (.jpg, .jpeg, .png, .gif)

Pricing Available: 
• Free version 
• Education: Teacher License, School License and District License
• For enterprise pricing, please email sales@kamiapp.com


FAQ:
• I am a teacher, can I use Kami?
Yes, you can use Kami and share the license with your students. Kami works well with Google Drive and Google Classroom, so you and your students can collaborate with PDFs, image files and other documents seamlessly. 

• Is Kami free? 
Kami is free to use, and you can upgrade anytime. If you’d like a product demo or have questions about Kami’s free version, please email support@kamiapp.com

• I am a teacher, and I need Kami in my class, which plan should I get?
Upgrade to a Kami Teacher License* for $99/year, and share your license with all your students. 

• I am a school principal, how much is Kami for the entire school?
Get in touch with us at schools@kamiapp.com to work out the best pricing for your school. 

• I need multiple licenses, how can I contact Kami?
Get in touch with a Kami representative at sales@kamiapp.com

For more information, go to www.kamiapp.com

Helpful Links:
• Help Center: help.kamiapp.com
• Facebook Community: facebook.com/groups/kamieducators
• How-to videos, tutorials, and case studies: kami.app/youtubechannel
• Kami Blog: kami.app/blog

Follow us on Twitter and Facebook:
@usekamiapp 
#KamiforSchools

*Kami Teacher License is only available to verified teacher accounts from K-12 to higher education.",English,"[Contact the developer](mailto:support@kamiapp.com)[Privacy Policy](https://www.kamiapp.com/privacy-policy)

125 St Georges Bay Road Level 3 Auckland, Auckland 1052 New Zealand"
Chrome Remote Desktop,https://chrome.google.com/webstore/detail/chrome-remote-desktop/inomeogfingihgjfjlpeplalcfajhgai,Chrome Remote Desktop extension,10000000,2.9,1546,"September 4, 2019",Productivity,Offered by: https://remotedesktop.google.com,https://lh3.googleusercontent.com/PfyGmkwoiKMOH7hOpj-5seLD2rRZHNWfasZ36BGisCNUns3APw2orDV_n-FL-GkfH8_hwXiK=w128-h128-e365-rj-sc0x00ffffff,"This is the companion extension for the Chrome Remote Desktop website (https://remotedesktop.google.com). This extension enables you to install, view, and modify the Chrome Remote Desktop native client from the web UI.

Chrome Remote Desktop allows users to remotely access another computer through Chrome browser or a Chromebook.  Computers can be made available on an short-term basis for scenarios such as ad hoc remote support, or on a more long-term basis for remote access to your applications and files.  All connections are fully secured.

Chrome Remote Desktop is fully cross-platform.  Provide remote assistance to Windows, Mac and Linux users, or access your Windows and Mac desktops at any time, all from the Chrome browser on virtually any device, including Chromebooks.

For information about privacy, please see the Google Privacy Policy and the Chrome Privacy Notice.

For help or troubleshooting please click here: https://support.google.com/chrome/answer/1649523",English,
